RID,Name,type,Category,total_price,provided_calories,provided_protein,provided_fat,provided_carbs
24,Pomegranate Yogurt Crunch,Breakfast,Gluten-Free,129.34,325.86,50.58,146.92,148.87
25,Chickpea Tomato Breakfast Stew,Breakfast,Gluten-Free,69.6,447.68,80.76,114.3,267.84
26,Semolina Milk Honey Bowl,Breakfast,Gluten-Free,87.05,485.84,71.84,88.42,320.01
27,Sardine Rice Tomato Bowl,Lunch,Gluten-Free,184.75,1023.0,179.4,237.51,590.04
28,Tuna Rice Olive Bowl,Lunch,Gluten-Free,275.96,908.65,174.16,146.79,584.82
29,Daurade Tomato Olive Plate,Lunch,Gluten-Free,286.77,319.17,133.36,169.02,22.86
30,Merlan with Green Bean Plate,Lunch,Gluten-Free,366.11,254.22,118.8,91.98,43.72
31,Lentil Soup,Lunch,Gluten-Free,59.65,506.02,122.48,87.03,315.68
32,Mutton Potato Onion Plate,Lunch,Gluten-Free,376.4,643.5,152.28,356.58,131.04
33,Mutton Carrot Pea,Dinner,Gluten-Free,386.75,609.8,159.88,359.46,86.76
34,Rice with Sardine and Coriander,Dinner,Gluten-Free,178.55,993.44,183.99,245.97,545.18
35,Mashed Potatoes,Lunch,Gluten-Free,99.66,1102.69,80.07,461.61,583.93
36,Lamb pilau,Lunch,Gluten-Free,441.15,880.5,178.32,396.0,298.44
37,Whipped Coffee,Breakfast,Gluten-Free,18.03,115.62,4.01,9.72,101.45
38,Strawberry Banana Smoothie,Breakfast,Gluten-Free,321.9,610.65,101.1,212.62,324.06
39,Turkey Egg Breakfast Bowl,Breakfast,High-Protein,92.82,453.52,206.68,229.73,12.08
40,Chicken Hummus Plate,Lunch,High-Protein,111.68,650.3,253.84,182.52,213.12
41,Cottage Cheese Berry Bowl,Breakfast,High-Protein,286.61,697.9,103.16,481.95,123.48
42,Shrimp Avocado Salad,Lunch,High-Protein,485.27,378.3,154.76,203.58,41.84
43,Egg White Veggie Wrap,Breakfast,High-Protein,92.29,573.2,141.12,246.78,186.08
44,Beef Sweet Potato Skillet,Dinner,High-Protein,509.7,641.4,174.64,294.84,162.32
45,Chicken Chickpea Bowl,Lunch,High-Protein,132.7,735.75,272.16,194.27,271.1
46,Protein Yogurt Crunch,Breakfast,High-Protein,472.7,511.2,201.48,182.52,142.24
47,Turkey Zucchini Stir Fry,Dinner,High-Protein,114.7,369.05,196.28,142.16,23.46
48,Beef Egg Scramble,Breakfast,High-Protein,490.12,561.62,186.8,353.21,15.44
49,Chicken Lentil Power Bowl,Lunch,High-Protein,121.2,773.3,311.04,152.64,312.96
50,Shrimp Brocculi Stir Fry,Dinner,High-Protein,449.5,290.45,161.96,98.69,41.46
51,Egg Oat Protein Pancakes,Breakfast,High-Protein,275.95,688.64,216.2,216.4,260.81
52,Chicken Cauliflower Rice Bowl,Lunch,High-Protein,143.05,1108.0,278.64,180.54,633.16
53,Beef Mushroom Pasta,Dinner,High-Protein,619.27,1008.2,245.52,315.36,444.72
54,Protein peanaut butter Smoothie,Breakfast,High-Protein,280.05,603.1,178.36,215.46,221.64
55,Chicken Black Bean Bowl,Lunch,High-Protein,153.9,1323.9,324.52,161.82,828.2
56,Date with Honey and Oat,Breakfast,High-Protein,112.0,556.5,79.36,115.47,379.96
57,Bananas and Almond Bowl,Breakfast,High-Protein,142.7,363.32,52.26,157.86,177.01
58,Sardine Breakfast Plate,Breakfast,High-Protein,148.91,366.13,122.08,223.29,21.3
59,Tuna Olive Breakfast Salad,Breakfast,High-Protein,230.35,179.05,120.88,46.53,25.54
60,Lentil and Egg,Breakfast,High-Protein,91.05,571.14,153.84,183.15,246.0
61,Chickpea Egg Garlic Bowl,Breakfast,High-Protein,84.6,583.71,136.97,221.54,236.05
62,Banana Peanut Protein Smoothie,Breakfast,High-Protein,285.65,502.7,148.92,191.7,179.88
63,Oat and Honey Cinnamon Porridge,Breakfast,High-Protein,108.45,515.12,87.54,130.9,305.16
64,Oat Banana Pancake Bowl,Breakfast,High-Protein,95.0,648.8,132.68,213.39,316.32
65,Spinach Cheese Egg Scramble,Breakfast,High-Protein,85.27,387.24,97.24,268.74,28.28
66,Merlan Egg,Lunch,High-Protein,336.4,339.44,148.48,169.65,16.88
67,Daurade Olive Bowl,Breakfast,High-Protein,241.66,224.45,118.28,89.28,25.54
68,Shrimp Egg Herb Scramble,Breakfast,High-Protein,337.35,328.22,167.7,156.51,6.25
69,Chicken Egg Breakfast Bowl,Breakfast,High-Protein,90.4,433.28,210.08,203.76,15.92
70,Beef and Eggs,Breakfast,High-Protein,401.6,513.58,169.2,312.39,21.2
71,Chickpea Chicken Bowl,Lunch,High-Protein,134.15,767.9,279.44,199.62,291.24
72,Lentil Beef Bowl,Lunch,High-Protein,505.05,850.7,256.48,290.43,301.28
73,Shrimp Rice Coriander Bowl,Lunch,High-Protein,390.1,876.84,183.31,105.48,578.3
74,Rice with Beef and Pepper Plate,Lunch,High-Protein,500.7,1111.2,197.04,292.5,595.2
75,Mutton Chickpea Stew Bowl,Lunch,High-Protein,422.5,930.2,230.28,415.44,289.68
76,Chicken Spinach Rice,Lunch,High-Protein,104.9,1006.9,245.84,153.54,590.4
77,Chicken with Carrot and Pea Bowl,Lunch,High-Protein,96.75,445.7,208.68,143.46,86.76
78,Sardine Chickpea Tomato Bowl,Lunch,High-Protein,204.15,790.8,221.36,285.57,291.24
79,Tuna Chickpea Mint Salad,Lunch,High-Protein,288.2,640.4,215.91,160.69,280.78
80,Shrimp Green Bean Rice,Lunch,High-Protein,400.45,870.0,187.16,105.39,573.52
81,Chicken Harissa Rice Bowl,Lunch,High-Protein,103.05,987.65,234.64,152.19,577.0
82,Chorba Vermicelle Beef,Dinner,High-Protein,498.1,843.5,200.8,294.57,334.44
83,Chorba Lentil Lamb,Dinner,High-Protein,455.8,917.0,254.12,336.15,335.84
84,Tlitli Chicken,Dinner,High-Protein,93.15,818.0,251.64,156.42,393.12
85,Tlitli Beef,Dinner,High-Protein,477.1,907.6,210.64,295.74,380.88
86,Beef Loubia Stew,Dinner,High-Protein,530.9,847.5,250.12,293.85,307.6
87,Lamb Chickpea Stew,Dinner,High-Protein,467.2,922.0,235.72,384.48,312.0
88,Beef with Chickpea,Dinner,High-Protein,522.15,870.4,239.04,340.02,291.24
89,Shrimp Chickpea Harissa,Dinner,High-Protein,432.52,617.9,226.32,149.85,254.0
90,Rice with Chicken and Green Bean,Dinner,High-Protein,110.45,978.9,238.76,150.21,572.4
91,Tuna Pasta,Dinner,High-Protein,254.75,1092.4,217.2,197.1,687.6
92,Roasted Chicken,Dinner,High-Protein,285.91,1282.07,748.77,466.33,20.45
93,Kefta,Lunch,High-Protein,496.25,401.76,161.18,204.66,22.66
94,Merguez Sausage Patties,Lunch,High-Protein,389.64,501.27,149.43,333.36,9.75
95,Baked Ziti,Dinner,High-Protein,469.66,1181.5,255.56,428.31,477.48
96,Lamb and Apricot meatballs,Lunch,High-Protein,519.27,727.36,186.34,399.69,155.66
97,Chicken with Saffron,Dinner,High-Protein,489.1,2130.36,1257.2,750.11,59.42
98,Baked Fish,Lunch,High-Protein,748.5,2142.4,633.2,1170.0,329.6
99,Grilled Sardines,Dinner,High-Protein,195.22,593.41,150.46,425.91,14.16
100,Taco Spaghetti,Lunch,High-Protein,524.6,727.75,200.2,259.69,251.22
101,Chicken Curry Fries,Lunch,High-Protein,187.2,1009.34,126.06,463.05,460.9
102,Breakfast Omelette,Breakfast,Low-Carb,63.05,367.3,84.72,242.1,47.24
103,Chicken Broccoli Skillet,Dinner,Low-Carb,110.7,381.17,200.21,143.06,35.65
104,Garlic Shrimp Bowl,Lunch,Low-Carb,399.3,253.37,149.25,95.62,14.45
105,Spinach Chicken Plate,Dinner,Low-Carb,79.7,363.37,198.37,142.34,18.37
106,Beef Lettuce Bowl,Lunch,Low-Carb,477.2,464.3,152.24,281.7,20.04
107,Egg Spinach Scramble,Breakfast,Low-Carb,47.8,251.58,72.19,166.77,19.45
108,Shrimp Broccoli Plate,Dinner,Low-Carb,434.0,280.35,159.06,98.42,33.86
109,Chicken Olive Salad,Lunch,Low-Carb,85.96,377.4,179.36,176.4,19.36
110,Beef Pepper Stir Fry,Dinner,Low-Carb,526.8,493.5,162.44,294.75,21.16
111,Zucchini Chicken Pan,Lunch,Low-Carb,90.9,360.77,192.53,141.98,18.85
112,Shrimp Spinach Bowl,Dinner,Low-Carb,394.2,262.07,155.21,97.43,18.13
113,Egg Olive Breakfast Plate,Breakfast,Low-Carb,57.56,285.2,67.04,204.48,22.32
114,Chicken Pepper Skillet,Dinner,Low-Carb,85.9,362.07,189.57,140.62,20.77
115,Beef Spinach Bowl,Lunch,Low-Carb,476.0,464.05,158.82,282.64,15.38
116,Shrimp Zucchini Stir Fry,Dinner,Low-Carb,425.2,262.6,153.0,97.38,18.04
117,Chicken Tomato Salad,Lunch,Low-Carb,87.5,342.2,180.24,137.88,18.64
118,Egg Broccoli Scramble,Breakfast,Low-Carb,70.8,263.78,72.99,167.13,31.69
119,Beef Olive Lettuce Bowl,Lunch,Low-Carb,479.16,497.9,151.92,320.22,20.52
120,Garlic Chicken Spinach,Dinner,Low-Carb,79.7,363.37,198.37,142.34,18.37
121,Shrimp Pepper Plate,Dinner,Low-Carb,402.5,266.17,147.97,96.34,24.37
122,Zucchini Egg Breakfast,Breakfast,Low-Carb,57.3,250.18,67.71,166.59,20.33
123,Zucchini Lasagna,Dinner,Low-Carb,466.25,729.95,195.6,492.3,36.06
124,Coffee with Chocolat Biscuits,Breakfast,Low-Carb,135.38,1006.1,61.64,297.0,631.97
125,Milk with Gallette,Breakfast,Low-Carb,135.0,1686.0,126.88,536.76,997.12
126,Milk with Cereal,Breakfast,Low-Carb,52.25,264.5,28.36,96.12,136.44
127,Chocolat Milk,Breakfast,Low-Carb,46.25,176.0,34.68,82.26,56.12
128,Baghrir,Breakfast,Low-Carb,69.25,1851.8,268.0,141.3,1391.2
129,Butter Chicken,Lunch,Low-Carb,399.14,1823.45,353.44,696.73,913.34
130,Banana Oat Smoothie,Breakfast,Low-Carb,68.9,457.3,70.76,112.05,288.12
131,Spinach Olive Omelette,Breakfast,Low-Carb,58.02,315.49,79.16,220.59,27.5
132,Egg Scramble,Breakfast,Low-Carb,51.6,278.29,70.2,185.4,25.32
133,Tomato and Pepper Omelette,Breakfast,Low-Carb,72.25,292.44,73.64,186.21,36.56
134,Cucumber Olive Egg Salad,Breakfast,Low-Carb,57.12,294.29,66.32,208.35,28.5
135,Coffee and Date Almond Snack Bowl,Breakfast,Low-Carb,45.95,212.83,19.51,90.45,122.28
136,Beef Cauliflower Skillet,Lunch,Low-Carb,470.92,492.4,157.84,282.78,46.32
137,Chicken Broccoli Skillet DZ,Lunch,Low-Carb,110.7,381.17,200.21,143.06,35.65
138,Shrimp and Hmiss,Lunch,Low-Carb,393.77,274.1,141.56,99.63,37.56
139,Tuna and Lettuce salade,Lunch,Low-Carb,252.9,239.6,131.31,103.09,15.18
140,Chicken Olive Lemon Salad,Lunch,Low-Carb,95.06,396.95,193.6,175.59,27.86
141,Beef Cucumber Olive Bowl,Lunch,Low-Carb,474.58,495.15,149.8,314.64,24.66
142,Lamb Zucchini Pepper Bowl,Lunch,Low-Carb,433.0,513.0,148.96,328.5,34.08
143,Mutton Vegetable Stew,Dinner,Low-Carb,393.35,562.5,147.28,359.91,54.36
144,Chicken Pepper Olive Pan,Dinner,Low-Carb,93.72,404.05,190.72,175.68,30.42
145,Beef Spinach Garlic Pan,Dinner,Low-Carb,468.2,468.17,159.13,283.1,19.81
146,Shrimp with Tomato and Garlic Pan,Dinner,Low-Carb,406.2,259.37,148.37,95.98,20.77
147,Sardine Tomato Garlic Plate,Dinner,Low-Carb,171.2,402.07,142.13,236.83,19.57
148,Merlan Lemon Olive Plate,Dinner,Low-Carb,350.67,251.77,110.0,124.74,16.26
149,Daurade Pepper Plate,Dinner,Low-Carb,281.7,295.09,133.37,135.31,25.57
150,Chicken Cauliflower,Dinner,Low-Carb,82.92,389.9,198.24,142.38,46.32
151,Beef Broccoli,Dinner,Low-Carb,498.7,483.67,159.81,283.45,35.65
152,Beef with Mushroom and Pepper,Dinner,Low-Carb,544.58,483.0,159.96,283.59,31.08
153,Lamb with Olive and Tomato,Dinner,Low-Carb,426.17,524.25,144.36,359.37,22.86
154,Merlan with Spinach and Tomato,Dinner,Low-Carb,359.45,244.92,122.84,94.77,28.44
155,Daurade Zucchini Olive,Dinner,Low-Carb,288.12,323.37,135.88,170.64,23.7
156,Rechta,Dinner,Traditional,233.9,1436.24,268.88,280.44,893.17
157,Chakhchoukha,Dinner,Traditional,261.27,1476.24,283.28,276.84,917.17
158,Chicken Mchermel,Dinner,Traditional,354.39,872.74,245.68,316.89,338.17
159,Tajine Zitoun,Lunch,Traditional,328.47,688.84,203.88,289.44,215.49
160,Aiche,Dinner,Traditional,305.33,1521.24,307.28,295.74,920.77
161,Loubia Chicken Plate,Lunch,Traditional,141.85,722.8,288.24,153.09,286.84
162,Chorba Frik Chicken,Dinner,Traditional,98.0,714.6,225.2,146.88,328.32
163,Harira,Dinner,Traditional,110.55,821.1,171.48,151.29,523.68
164,Tajine Patates Douces,Dinner,Traditional,337.57,1105.2,634.32,301.21,139.76
165,Shakshuka,Dinner,Traditional,255.55,883.74,131.26,613.35,166.62
166,Dolma,Dinner,Traditional,672.84,1033.88,281.5,609.8,131.49
167,Mthouem,Dinner,Traditional,633.38,883.17,251.53,614.74,2.04
168,Kbab,Dinner,Traditional,163.93,1047.15,314.64,228.87,510.49
169,Chickpea with Tomato and Coriander Bowl,Lunch,Vegetarian,80.3,561.84,102.67,156.96,319.18
170,Lentil and Vegetables Soup,Lunch,Vegetarian,77.15,533.82,117.36,86.67,347.6
171,Rice with Peas and Carrots,Lunch,Vegetarian,65.7,858.1,72.32,106.38,673.8
172,Zucchini Chickpea Skillet,Lunch,Vegetarian,93.0,576.8,107.04,159.48,329.76
173,Broccoli Cauliflower Rice Bowl,Lunch,Vegetarian,78.55,811.4,69.2,108.0,637.28
174,Potato Carrot Pea Pan,Dinner,Vegetarian,48.25,325.6,34.72,96.3,204.56
175,Eggplant Tomato Skillet,Dinner,Vegetarian,57.0,171.5,12.96,95.4,75.24
176,Green Bean Rice Bowl,Dinner,Vegetarian,68.06,786.7,59.4,103.95,621.28
177,Cucumber and Olive Salad,Lunch,Vegetarian,36.98,148.17,10.99,110.02,41.28
178,Beet Carrot Salad,Breakfast,Vegetarian,22.32,132.34,10.04,57.65,72.1
179,Loubia with Tomato Bowl,Lunch,Vegetarian,94.5,538.4,114.96,106.74,338.64
180,Stuffed Pepper Rice,Dinner,Vegetarian,77.85,811.6,58.84,106.83,639.0
181,Chickpea Spinach Rice,Dinner,Vegetarian,98.3,1229.0,160.0,170.1,907.68
182,Couscous with Vegetables,Lunch,Vegetarian,106.22,1456.9,204.76,197.64,1048.08
183,Chtitha Batata,Lunch,Vegetarian,129.2,1068.2,86.22,280.44,729.58
184,Flafla,Dinner,Vegetarian,85.28,233.87,17.99,143.55,92.51
185,Tastira,Dinner,Vegetarian,221.9,854.48,131.95,615.78,137.33
186,Tomato and Garlic Pasta,Lunch,Vegetarian,227.64,1254.08,168.41,186.34,916.19
187,Spaghetti Bolognese,Lunch,Vegetarian,589.54,1064.69,246.4,271.71,529.38
188,Gratin,Dinner,Vegetarian,167.65,630.57,228.71,146.14,253.46
189,Scalloped Potatoes,Lunch,Vegetarian,78.7,686.61,76.48,192.6,427.74
190,Pizza,Lunch,Vegetarian,74.38,1073.8,95.2,248.4,715.97
191,Fried Rice,Lunch,Vegetarian,159.03,1886.49,185.66,265.23,1419.12
